Lang,Sort,Quantity,Time
Python,quick_sort,20000,0.19734890000108862
Python,insertion_sort,20000,215.84466210000028
Python,bubble_sort,20000,540.0643361999973
Python,quick_sort,40000,0.03231469999809633
Python,insertion_sort,40000,8.191215800001373
Python,bubble_sort,40000,20.197163000000728
Python,quick_sort,60000,0.07350030000088736
Python,insertion_sort,60000,32.96276209999996
Python,bubble_sort,60000,80.94080399999802
Python,quick_sort,80000,0.11685260000012931
Python,insertion_sort,80000,75.39991450000161
Python,bubble_sort,80000,188.2263942000027
Python,quick_sort,100000,0.14743580000140355
Python,insertion_sort,100000,135.89978740000151
Python,bubble_sort,100000,337.7025479999975
Go,quick_sort,20000,0.006830
Go,insertion_sort,20000,0.041886
Go,bubble_sort,20000,0.330021
Go,quick_sort,40000,0.011960
Go,insertion_sort,40000,0.172285
Go,bubble_sort,40000,1.599059
Go,quick_sort,60000,0.018936
Go,insertion_sort,60000,0.351233
Go,bubble_sort,60000,3.976457
Go,quick_sort,80000,0.027901
Go,insertion_sort,80000,0.696300
Go,bubble_sort,80000,7.095833
Go,quick_sort,100000,0.033759
Go,insertion_sort,100000,0.972726
Go,bubble_sort,100000,11.219633
Go,quick_sort,1000000,3.190227
Go,insertion_sort,1000000,596.068868
Go,bubble_sort,1000000,5187.986088
